260: 67.25-68.26	0.166957 , -26.5188 nm	CRITICO
261: 67.26-68.25	26.7216 , 0.0358686 nm	CRITICO
262: 67.26-68.26	0.166957 , -26.5188 nm	CRITICO
263: 67.26-68.27	5.72887 , -20.9569 nm	CRITICO
264: 67.27-68.27	6.20781 , -20.4779 nm	CRITICO
265: 67.27-68.28	15.3094 , -11.3763 nm	CRITICO
266: 67.28-68.28	19.6503 , -7.03545 nm	CRITICO
267: 68.20-69.20	27.1505 , -1.3691 nm	CRITICO
268: 68.21-69.20	24.2412 , -4.27848 nm	CRITICO
269: 68.21-69.21	18.7024 , -9.81726 nm	CRITICO
270: 68.22-69.21	18.0818 , -10.4378 nm	CRITICO
271: 68.22-69.22	16.3988 , -12.1208 nm	CRITICO
272: 68.23-69.22	16.3988 , -12.1208 nm	CRITICO
273: 68.23-69.23	18.0546 , -10.465 nm	CRITICO
274: 68.24-69.23	19.5545 , -8.9652 nm	CRITICO
275: 68.24-69.24	24.3922 , -4.12748 nm	CRITICO
276: 68.25-69.24	29.723 , 1.20333 nm
277: 69.31-70.30	25.7616 , 0.0614988 nm	CRITICO
278: 71.30-72.31	21.3082 , -4.979 nm	CRITICO
279: 71.31-76.31	27.3822 , 0.244398 nm	CRITICO
280: 72.31-73.31	11.8889 , -13.5321 nm	CRITICO
